repetition,window,cell,odigos,accepted,refusal_reason,cpu_ms_per_req,half1_cpu_ms,half2_cpu_ms,spans_per_req,requests,achieved_rps,p50_ms,p95_ms,p99_ms,error_rate,dropped
1,01-off,s,off,True,,1.5688,1.5622,1.5753,0,300001,500.0,1.604,2.153,6.856,0,0
1,01-off,schatty,off,True,,2.9177,2.9381,2.8975,0,180001,300.0,3.055,3.562,30.963,0,0
1,01-off,m,off,True,,6.1663,6.2085,6.1249,0,90000,150,6.341,7.104,37.464,0,0
1,01-off,l,off,True,,3.1974,3.2091,3.1858,0,119400,199,42.93,44.473,46.594,0,0
1,01-off,xl,off,True,,13.5106,13.5491,13.4734,0,34800,58,82.556,84.099,87.674,0,0
1,02-off,s,off,True,,1.4976,1.5045,1.4908,0,300000,500,1.56,1.901,4.534,0,0
1,02-off,schatty,off,True,,2.8839,2.8893,2.8785,0,180001,300.0,3.03,3.378,15.682,0,0
1,02-off,m,off,True,,6.0485,6.0539,6.0433,0,90000,150,6.307,6.646,10.87,0,0
1,02-off,l,off,True,,3.2525,3.2442,3.2606,0,119400,199,43.025,44.552,46.041,0,0
1,02-off,xl,off,True,,13.6685,13.8634,13.4789,0,34800,58,82.847,84.513,86.36,0,0
1,03-100,s,on,True,,1.5828,1.6,1.5655,1.02,300001,500.0,1.601,2.155,5.699,0,0
1,03-100,schatty,on,True,,3.0598,3.088,3.0317,1.994,180000,300,3.13,3.734,15.121,0,0
1,03-100,m,on,True,,6.3061,6.3452,6.2675,2.006,90000,150,6.509,7.165,14.46,0,0
1,03-100,l,on,True,,3.9377,3.9684,3.9074,20.028,119400,199,43.874,46.338,49.768,0,0
1,03-100,xl,on,True,,14.8649,15.0284,14.7044,20.082,34800,58,83.893,85.866,92.117,0,0
1,04-100,s,on,True,,1.6116,1.5801,1.643,1.019,300001,500.0,1.644,2.235,5.435,0,0
1,04-100,schatty,on,True,,3.0852,3.0944,3.0761,1.992,180000,300,3.196,3.739,22.305,0,0
1,04-100,m,on,True,,6.2952,6.3341,6.2569,2.002,90000,150,6.557,7.071,11.627,0,0
1,04-100,l,on,True,,3.9112,3.8898,3.9321,20.0,119400,199,43.862,46.278,48.599,0,0
1,04-100,xl,on,False,half-window CPU/req differ by 5.02% (15.4162 vs 16.2104) - not settled,15.8185,15.4162,16.2104,20.053,34800,58,84.777,87.802,94.01,0,0
